team,name,confed,prior_matches,evidence_window_start,prior_evidence_end,evidence_window_years
Uganda,Uganda,CAF,34.0,2022-07-16,2026-01-26,4
Comoros,Comoros,CAF,40.0,2022-07-16,2026-01-26,4
Estonia,Estonia,UEFA,38.0,2022-07-16,2026-01-26,4
Zambia,Zambia,CAF,37.0,2022-07-16,2026-01-26,4
Benin,Benin,CAF,32.0,2022-07-16,2026-01-26,4
Azerbaijan,Azerbaijan,UEFA,33.0,2022-07-16,2026-01-26,4
Armenia,Armenia,UEFA,34.0,2022-07-16,2026-01-26,4
United Arab Emirates,United Arab Emirates,AFC,48.0,2022-07-16,2026-01-26,4
Belarus,Belarus,UEFA,33.0,2022-07-16,2026-01-26,4
Oman,Oman,AFC,54.0,2022-07-16,2026-01-26,4
Namibia,Namibia,CAF,31.0,2022-07-16,2026-01-26,4
Gambia,Gambia,CAF,27.0,2022-07-16,2026-01-26,4
Guatemala,Guatemala,CONCACAF,51.0,2022-07-16,2026-01-26,4
Kazakhstan,Kazakhstan,UEFA,35.0,2022-07-16,2026-01-26,4
Togo,Togo,CAF,25.0,2022-07-16,2026-01-26,4
Angola,Angola,CAF,42.0,2022-07-16,2026-01-26,4
Iraq,Iraq,AFC,49.0,2022-07-16,2026-01-26,4
Equatorial Guinea,Equatorial Guinea,CAF,36.0,2022-07-16,2026-01-26,4
Palestine,Palestine,AFC,33.0,2022-07-16,2026-01-26,4
Malta,Malta,UEFA,33.0,2022-07-16,2026-01-26,4
Luxembourg,Luxembourg,UEFA,34.0,2022-07-16,2026-01-26,4
Faroe Islands,Faroe Islands,UEFA,34.0,2022-07-16,2026-01-26,4
Niger,Niger,CAF,30.0,2022-07-16,2026-01-26,4
Moldova,Moldova,UEFA,33.0,2022-07-16,2026-01-26,4
Mozambique,Mozambique,CAF,40.0,2022-07-16,2026-01-26,4
Mauritania,Mauritania,CAF,36.0,2022-07-16,2026-01-26,4
Sierra Leone,Sierra Leone,CAF,26.0,2022-07-16,2026-01-26,4
Cyprus,Cyprus,UEFA,34.0,2022-07-16,2026-01-26,4
Kenya,Kenya,CAF,28.0,2022-07-16,2026-01-26,4
Latvia,Latvia,UEFA,34.0,2022-07-16,2026-01-26,4
Libya,Libya,CAF,30.0,2022-07-16,2026-01-26,4
Botswana,Botswana,CAF,31.0,2022-07-16,2026-01-26,4
Zimbabwe,Zimbabwe,CAF,23.0,2022-07-16,2026-01-26,4
Tanzania,Tanzania,CAF,37.0,2022-07-16,2026-01-26,4
Syria,Syria,AFC,42.0,2022-07-16,2026-01-26,4
Suriname,Suriname,CONCACAF,29.0,2022-07-16,2026-01-26,4
Madagascar,Madagascar,CAF,29.0,2022-07-16,2026-01-26,4
Bahrain,Bahrain,AFC,49.0,2022-07-16,2026-01-26,4
Haiti,Haiti,CONCACAF,30.0,2022-07-16,2026-01-26,4
Congo,Congo,CAF,18.0,2022-07-16,2026-01-26,4
Indonesia,Indonesia,AFC,47.0,2022-07-16,2026-01-26,4
Malawi,Malawi,CAF,29.0,2022-07-16,2026-01-26,4
Lithuania,Lithuania,UEFA,34.0,2022-07-16,2026-01-26,4
Liberia,Liberia,CAF,26.0,2022-07-16,2026-01-26,4
Guinea-Bissau,Guinea-Bissau,CAF,29.0,2022-07-16,2026-01-26,4
Sudan,Sudan,CAF,36.0,2022-07-16,2026-01-26,4
North Korea,North Korea,AFC,18.0,2022-07-16,2026-01-26,4
Central African Republic,Central African Republic,CAF,23.0,2022-07-16,2026-01-26,4
Martinique,Martinique,CONCACAF,19.0,2022-07-16,2026-01-26,4
Ethiopia,Ethiopia,CAF,25.0,2022-07-16,2026-01-26,4
China,China PR,AFC,32.0,2022-07-16,2026-01-26,4
Rwanda,Rwanda,CAF,26.0,2022-07-16,2026-01-26,4
Andorra,Andorra,UEFA,34.0,2022-07-16,2026-01-26,4
El Salvador,El Salvador,CONCACAF,41.0,2022-07-16,2026-01-26,4
Eswatini,Swaziland,CAF,27.0,2022-07-16,2026-01-26,4
Trinidad and Tobago,Trinidad and Tobago,CONCACAF,45.0,2022-07-16,2026-01-26,4
Lesotho,Lesotho,CAF,32.0,2022-07-16,2026-01-26,4
Kyrgyzstan,Kyrgyzstan,AFC,29.0,2022-07-16,2026-01-26,4
San Marino,San Marino,UEFA,34.0,2022-07-16,2026-01-26,4
Nicaragua,Nicaragua,CONCACAF,36.0,2022-07-16,2026-01-26,4
South Sudan,South Sudan,CAF,25.0,2022-07-16,2026-01-26,4
Curaçao,Curacao,CONCACAF,32.0,2022-07-16,2026-01-26,4
Kuwait,Kuwait,AFC,46.0,2022-07-16,2026-01-26,4
Dominican Republic,Dominican Republic,CONCACAF,32.0,2022-07-16,2026-01-26,4
Tajikistan,Tajikistan,AFC,34.0,2022-07-16,2026-01-26,4
Chad,Chad,CAF,23.0,2022-07-16,2026-01-26,4
Somalia,Somalia,CAF,16.0,2022-07-16,2026-01-26,4
Gibraltar,Gibraltar,UEFA,34.0,2022-07-16,2026-01-26,4
Burundi,Burundi,CAF,24.0,2022-07-16,2026-01-26,4
Djibouti,Djibouti,CAF,16.0,2022-07-16,2026-01-26,4
Cuba,Cuba,CONCACAF,32.0,2022-07-16,2026-01-26,4
Lebanon,Lebanon,AFC,35.0,2022-07-16,2026-01-26,4
Vietnam,Vietnam,AFC,44.0,2022-07-16,2026-01-26,4
São Tomé and Príncipe,Sao Tome and Principe,CAF,16.0,2022-07-16,2026-01-26,4
Thailand,Thailand,AFC,54.0,2022-07-16,2026-01-26,4
Mauritius,Mauritius,CAF,24.0,2022-07-16,2026-01-26,4
Grenada,Grenada,CONCACAF,29.0,2022-07-16,2026-01-26,4
India,India,AFC,31.0,2022-07-16,2026-01-26,4
Hong Kong,Hong Kong,AFC,44.0,2022-07-16,2026-01-26,4
Liechtenstein,Liechtenstein,UEFA,33.0,2022-07-16,2026-01-26,4
Afghanistan,Afghanistan,AFC,19.0,2022-07-16,2026-01-26,4
Taiwan,Chinese Taipei,AFC,23.0,2022-07-16,2026-01-26,4
Turkmenistan,Turkmenistan,AFC,18.0,2022-07-16,2026-01-26,4
Malaysia,Malaysia,AFC,44.0,2022-07-16,2026-01-26,4
Montserrat,Montserrat,CONCACAF,18.0,2022-07-16,2026-01-26,4
Pakistan,Pakistan,AFC,21.0,2022-07-16,2026-01-26,4
Saint Vincent and the Grenadines,St. Vincent and the Grenadines,CONCACAF,31.0,2022-07-16,2026-01-26,4
Seychelles,Seychelles,CAF,18.0,2022-07-16,2026-01-26,4
Guyana,Guyana,CONCACAF,28.0,2022-07-16,2026-01-26,4
Papua New Guinea,Papua New Guinea,OFC,24.0,2022-07-16,2026-01-26,4
Bangladesh,Bangladesh,AFC,32.0,2022-07-16,2026-01-26,4
British Virgin Islands,British Virgin Islands,CONCACAF,19.0,2022-07-16,2026-01-26,4
Bermuda,Bermuda,CONCACAF,28.0,2022-07-16,2026-01-26,4
Saint Martin,St. Martin,CONCACAF,15.0,2022-07-16,2026-01-26,4
Yemen,Yemen,AFC,22.0,2022-07-16,2026-01-26,4
New Caledonia,New Caledonia,OFC,16.0,2022-07-16,2026-01-26,4
Cambodia,Cambodia,AFC,27.0,2022-07-16,2026-01-26,4
Nepal,Nepal,AFC,30.0,2022-07-16,2026-01-26,4
Puerto Rico,Puerto Rico,CONCACAF,26.0,2022-07-16,2026-01-26,4
Singapore,Singapore,AFC,39.0,2022-07-16,2026-01-26,4
Solomon Islands,Solomon Islands,OFC,27.0,2022-07-16,2026-01-26,4
Sri Lanka,Sri Lanka,AFC,21.0,2022-07-16,2026-01-26,4
Myanmar,Myanmar,AFC,34.0,2022-07-16,2026-01-26,4
Bonaire,Bonaire,CONCACAF,16.0,2022-07-16,2026-01-26,4
Vanuatu,Vanuatu,OFC,25.0,2022-07-16,2026-01-26,4
Maldives,Maldives,AFC,21.0,2022-07-16,2026-01-26,4
Belize,Belize,CONCACAF,24.0,2022-07-16,2026-01-26,4
Aruba,Aruba,CONCACAF,19.0,2022-07-16,2026-01-26,4
Dominica,Dominica,CONCACAF,19.0,2022-07-16,2026-01-26,4
Fiji,Fiji,OFC,29.0,2022-07-16,2026-01-26,4
Bahamas,Bahamas,CONCACAF,17.0,2022-07-16,2026-01-26,4
Antigua and Barbuda,Antigua and Barbuda,CONCACAF,21.0,2022-07-16,2026-01-26,4
Barbados,Barbados,CONCACAF,24.0,2022-07-16,2026-01-26,4
Philippines,Philippines,AFC,35.0,2022-07-16,2026-01-26,4
Cayman Islands,Cayman Islands,CONCACAF,17.0,2022-07-16,2026-01-26,4
Saint Kitts and Nevis,St. Kitts and Nevis,CONCACAF,32.0,2022-07-16,2026-01-26,4
Saint Lucia,St. Lucia,CONCACAF,25.0,2022-07-16,2026-01-26,4
Anguilla,Anguilla,CONCACAF,19.0,2022-07-16,2026-01-26,4
Sint Maarten,Sint Maarten,CONCACAF,17.0,2022-07-16,2026-01-26,4
Laos,Laos,AFC,23.0,2022-07-16,2026-01-26,4
Brunei,Brunei,AFC,26.0,2022-07-16,2026-01-26,4
United States Virgin Islands,US Virgin Islands,CONCACAF,13.0,2022-07-16,2026-01-26,4
Bhutan,Bhutan,AFC,18.0,2022-07-16,2026-01-26,4
Turks and Caicos Islands,Turks and Caicos Islands,CONCACAF,13.0,2022-07-16,2026-01-26,4
East Timor,Timor-Leste,AFC,18.0,2022-07-16,2026-01-26,4
