team,name,confed,prior_matches,evidence_window_start,prior_evidence_end,evidence_window_years
Wales,Wales,UEFA,39.0,2022-07-20,2026-07-15,4
Israel,Israel,UEFA,35.0,2022-07-20,2026-07-15,4
Nigeria,Nigeria,CAF,50.0,2022-07-20,2026-07-15,4
Republic of Ireland,Rep of Ireland,UEFA,39.0,2022-07-20,2026-07-15,4
Chile,Chile,CONMEBOL,39.0,2022-07-20,2026-07-15,4
DR Congo,Congo DR,CAF,51.0,2022-07-20,2026-07-15,4
Peru,Peru,CONMEBOL,39.0,2022-07-20,2026-07-15,4
Iceland,Iceland,UEFA,45.0,2022-07-20,2026-07-15,4
Bosnia and Herzegovina,Bosnia and Herzegovina,UEFA,39.0,2022-07-20,2026-07-15,4
Tunisia,Tunisia,CAF,55.0,2022-07-20,2026-07-15,4
Cameroon,Cameroon,CAF,44.0,2022-07-20,2026-07-15,4
Albania,Albania,UEFA,42.0,2022-07-20,2026-07-15,4
Bolivia,Bolivia,CONMEBOL,43.0,2022-07-20,2026-07-15,4
Panama,Panama,CONCACAF,62.0,2022-07-20,2026-07-15,4
Kosovo,Kosovo,UEFA,37.0,2022-07-20,2026-07-15,4
Mali,Mali,CAF,39.0,2022-07-20,2026-07-15,4
Romania,Romania,UEFA,42.0,2022-07-20,2026-07-15,4
Ghana,Ghana,CAF,46.0,2022-07-20,2026-07-15,4
Northern Ireland,Northern Ireland,UEFA,36.0,2022-07-20,2026-07-15,4
Guadeloupe,Guadeloupe,CONCACAF,24.0,2022-07-20,2026-07-15,4
Uzbekistan,Uzbekistan,AFC,49.0,2022-07-20,2026-07-15,4
South Africa,South Africa,CAF,57.0,2022-07-20,2026-07-15,4
Jordan,Jordan,AFC,56.0,2022-07-20,2026-07-15,4
North Macedonia,North Macedonia,UEFA,39.0,2022-07-20,2026-07-15,4
Finland,Finland,UEFA,40.0,2022-07-20,2026-07-15,4
Burkina Faso,Burkina Faso,CAF,48.0,2022-07-20,2026-07-15,4
Montenegro,Montenegro,UEFA,38.0,2022-07-20,2026-07-15,4
Gabon,Gabon,CAF,33.0,2022-07-20,2026-07-15,4
Cape Verde,Cape Verde Islands,CAF,45.0,2022-07-20,2026-07-15,4
New Zealand,New Zealand,OFC,38.0,2022-07-20,2026-07-15,4
Costa Rica,Costa Rica,CONCACAF,53.0,2022-07-20,2026-07-15,4
Qatar,Qatar,AFC,61.0,2022-07-20,2026-07-15,4
Saudi Arabia,Saudi Arabia,AFC,71.0,2022-07-20,2026-07-15,4
Honduras,Honduras,CONCACAF,47.0,2022-07-20,2026-07-15,4
Uganda,Uganda,CAF,34.0,2022-07-20,2026-07-15,4
Bulgaria,Bulgaria,UEFA,38.0,2022-07-20,2026-07-15,4
Guinea,Guinea,CAF,38.0,2022-07-20,2026-07-15,4
Kazakhstan,Kazakhstan,UEFA,39.0,2022-07-20,2026-07-15,4
Benin,Benin,CAF,36.0,2022-07-20,2026-07-15,4
Jamaica,Jamaica,CONCACAF,57.0,2022-07-20,2026-07-15,4
Belarus,Belarus,UEFA,37.0,2022-07-20,2026-07-15,4
Comoros,Comoros,CAF,43.0,2022-07-20,2026-07-15,4
Estonia,Estonia,UEFA,42.0,2022-07-20,2026-07-15,4
Gambia,Gambia,CAF,29.0,2022-07-20,2026-07-15,4
Zambia,Zambia,CAF,37.0,2022-07-20,2026-07-15,4
United Arab Emirates,United Arab Emirates,AFC,48.0,2022-07-20,2026-07-15,4
Togo,Togo,CAF,29.0,2022-07-20,2026-07-15,4
Malta,Malta,UEFA,35.0,2022-07-20,2026-07-15,4
Armenia,Armenia,UEFA,37.0,2022-07-20,2026-07-15,4
Iraq,Iraq,AFC,56.0,2022-07-20,2026-07-15,4
Angola,Angola,CAF,44.0,2022-07-20,2026-07-15,4
Oman,Oman,AFC,55.0,2022-07-20,2026-07-15,4
Guatemala,Guatemala,CONCACAF,54.0,2022-07-20,2026-07-15,4
Luxembourg,Luxembourg,UEFA,36.0,2022-07-20,2026-07-15,4
Namibia,Namibia,CAF,32.0,2022-07-20,2026-07-15,4
Palestine,Palestine,AFC,35.0,2022-07-20,2026-07-15,4
Mauritania,Mauritania,CAF,39.0,2022-07-20,2026-07-15,4
Equatorial Guinea,Equatorial Guinea,CAF,39.0,2022-07-20,2026-07-15,4
Faroe Islands,Faroe Islands,UEFA,37.0,2022-07-20,2026-07-15,4
Haiti,Haiti,CONCACAF,37.0,2022-07-20,2026-07-15,4
Cyprus,Cyprus,UEFA,38.0,2022-07-20,2026-07-15,4
Mozambique,Mozambique,CAF,40.0,2022-07-20,2026-07-15,4
Moldova,Moldova,UEFA,37.0,2022-07-20,2026-07-15,4
Azerbaijan,Azerbaijan,UEFA,37.0,2022-07-20,2026-07-15,4
Kenya,Kenya,CAF,31.0,2022-07-20,2026-07-15,4
Niger,Niger,CAF,34.0,2022-07-20,2026-07-15,4
Sierra Leone,Sierra Leone,CAF,29.0,2022-07-20,2026-07-15,4
Zimbabwe,Zimbabwe,CAF,26.0,2022-07-20,2026-07-15,4
Suriname,Suriname,CONCACAF,30.0,2022-07-20,2026-07-15,4
Rwanda,Rwanda,CAF,28.0,2022-07-20,2026-07-15,4
Libya,Libya,CAF,32.0,2022-07-20,2026-07-15,4
Botswana,Botswana,CAF,32.0,2022-07-20,2026-07-15,4
Syria,Syria,AFC,43.0,2022-07-20,2026-07-15,4
Latvia,Latvia,UEFA,36.0,2022-07-20,2026-07-15,4
Madagascar,Madagascar,CAF,32.0,2022-07-20,2026-07-15,4
Indonesia,Indonesia,AFC,51.0,2022-07-20,2026-07-15,4
Congo,Congo,CAF,18.0,2022-07-20,2026-07-15,4
Lithuania,Lithuania,UEFA,38.0,2022-07-20,2026-07-15,4
Bahrain,Bahrain,AFC,50.0,2022-07-20,2026-07-15,4
Sudan,Sudan,CAF,36.0,2022-07-20,2026-07-15,4
Tanzania,Tanzania,CAF,38.0,2022-07-20,2026-07-15,4
Ethiopia,Ethiopia,CAF,27.0,2022-07-20,2026-07-15,4
Guinea-Bissau,Guinea-Bissau,CAF,31.0,2022-07-20,2026-07-15,4
North Korea,North Korea,AFC,18.0,2022-07-20,2026-07-15,4
Liberia,Liberia,CAF,30.0,2022-07-20,2026-07-15,4
El Salvador,El Salvador,CONCACAF,45.0,2022-07-20,2026-07-15,4
China,China PR,AFC,36.0,2022-07-20,2026-07-15,4
Central African Republic,Central African Republic,CAF,25.0,2022-07-20,2026-07-15,4
Malawi,Malawi,CAF,32.0,2022-07-20,2026-07-15,4
Trinidad and Tobago,Trinidad and Tobago,CONCACAF,49.0,2022-07-20,2026-07-15,4
Eswatini,Swaziland,CAF,27.0,2022-07-20,2026-07-15,4
Andorra,Andorra,UEFA,39.0,2022-07-20,2026-07-15,4
Lesotho,Lesotho,CAF,33.0,2022-07-20,2026-07-15,4
Curaçao,Curacao,CONCACAF,39.0,2022-07-20,2026-07-15,4
Martinique,Martinique,CONCACAF,21.0,2022-07-20,2026-07-15,4
Kyrgyzstan,Kyrgyzstan,AFC,33.0,2022-07-20,2026-07-15,4
South Sudan,South Sudan,CAF,25.0,2022-07-20,2026-07-15,4
Nicaragua,Nicaragua,CONCACAF,38.0,2022-07-20,2026-07-15,4
San Marino,San Marino,UEFA,38.0,2022-07-20,2026-07-15,4
Dominican Republic,Dominican Republic,CONCACAF,35.0,2022-07-20,2026-07-15,4
Kuwait,Kuwait,AFC,47.0,2022-07-20,2026-07-15,4
Tajikistan,Tajikistan,AFC,36.0,2022-07-20,2026-07-15,4
Chad,Chad,CAF,23.0,2022-07-20,2026-07-15,4
Somalia,Somalia,CAF,16.0,2022-07-20,2026-07-15,4
Gibraltar,Gibraltar,UEFA,36.0,2022-07-20,2026-07-15,4
Burundi,Burundi,CAF,25.0,2022-07-20,2026-07-15,4
Djibouti,Djibouti,CAF,16.0,2022-07-20,2026-07-15,4
Cuba,Cuba,CONCACAF,34.0,2022-07-20,2026-07-15,4
Lebanon,Lebanon,AFC,35.0,2022-07-20,2026-07-15,4
Vietnam,Vietnam,AFC,45.0,2022-07-20,2026-07-15,4
Thailand,Thailand,AFC,56.0,2022-07-20,2026-07-15,4
São Tomé and Príncipe,Sao Tome and Principe,CAF,16.0,2022-07-20,2026-07-15,4
Mauritius,Mauritius,CAF,24.0,2022-07-20,2026-07-15,4
Pakistan,Pakistan,AFC,24.0,2022-07-20,2026-07-15,4
Liechtenstein,Liechtenstein,UEFA,37.0,2022-07-20,2026-07-15,4
Hong Kong,Hong Kong,AFC,44.0,2022-07-20,2026-07-15,4
India,India,AFC,35.0,2022-07-20,2026-07-15,4
Taiwan,Chinese Taipei,AFC,23.0,2022-07-20,2026-07-15,4
Grenada,Grenada,CONCACAF,32.0,2022-07-20,2026-07-15,4
Turkmenistan,Turkmenistan,AFC,18.0,2022-07-20,2026-07-15,4
Malaysia,Malaysia,AFC,44.0,2022-07-20,2026-07-15,4
Montserrat,Montserrat,CONCACAF,18.0,2022-07-20,2026-07-15,4
Guyana,Guyana,CONCACAF,30.0,2022-07-20,2026-07-15,4
Bermuda,Bermuda,CONCACAF,30.0,2022-07-20,2026-07-15,4
Seychelles,Seychelles,CAF,18.0,2022-07-20,2026-07-15,4
Afghanistan,Afghanistan,AFC,22.0,2022-07-20,2026-07-15,4
Papua New Guinea,Papua New Guinea,OFC,24.0,2022-07-20,2026-07-15,4
Bangladesh,Bangladesh,AFC,34.0,2022-07-20,2026-07-15,4
Cambodia,Cambodia,AFC,29.0,2022-07-20,2026-07-15,4
Saint Vincent and the Grenadines,St. Vincent and the Grenadines,CONCACAF,33.0,2022-07-20,2026-07-15,4
New Caledonia,New Caledonia,OFC,17.0,2022-07-20,2026-07-15,4
Yemen,Yemen,AFC,22.0,2022-07-20,2026-07-15,4
Nepal,Nepal,AFC,30.0,2022-07-20,2026-07-15,4
Puerto Rico,Puerto Rico,CONCACAF,28.0,2022-07-20,2026-07-15,4
Bonaire,Bonaire,CONCACAF,19.0,2022-07-20,2026-07-15,4
British Virgin Islands,British Virgin Islands,CONCACAF,23.0,2022-07-20,2026-07-15,4
Singapore,Singapore,AFC,40.0,2022-07-20,2026-07-15,4
Saint Martin,St. Martin,CONCACAF,17.0,2022-07-20,2026-07-15,4
Sri Lanka,Sri Lanka,AFC,21.0,2022-07-20,2026-07-15,4
Solomon Islands,Solomon Islands,OFC,29.0,2022-07-20,2026-07-15,4
Vanuatu,Vanuatu,OFC,26.0,2022-07-20,2026-07-15,4
Myanmar,Myanmar,AFC,35.0,2022-07-20,2026-07-15,4
Maldives,Maldives,AFC,23.0,2022-07-20,2026-07-15,4
Aruba,Aruba,CONCACAF,21.0,2022-07-20,2026-07-15,4
Dominica,Dominica,CONCACAF,21.0,2022-07-20,2026-07-15,4
Fiji,Fiji,OFC,30.0,2022-07-20,2026-07-15,4
Belize,Belize,CONCACAF,26.0,2022-07-20,2026-07-15,4
Antigua and Barbuda,Antigua and Barbuda,CONCACAF,21.0,2022-07-20,2026-07-15,4
Philippines,Philippines,AFC,36.0,2022-07-20,2026-07-15,4
Bahamas,Bahamas,CONCACAF,19.0,2022-07-20,2026-07-15,4
Barbados,Barbados,CONCACAF,26.0,2022-07-20,2026-07-15,4
Cayman Islands,Cayman Islands,CONCACAF,20.0,2022-07-20,2026-07-15,4
Saint Lucia,St. Lucia,CONCACAF,26.0,2022-07-20,2026-07-15,4
Saint Kitts and Nevis,St. Kitts and Nevis,CONCACAF,34.0,2022-07-20,2026-07-15,4
Anguilla,Anguilla,CONCACAF,21.0,2022-07-20,2026-07-15,4
Sint Maarten,Sint Maarten,CONCACAF,19.0,2022-07-20,2026-07-15,4
Laos,Laos,AFC,23.0,2022-07-20,2026-07-15,4
Brunei,Brunei,AFC,26.0,2022-07-20,2026-07-15,4
Turks and Caicos Islands,Turks and Caicos Islands,CONCACAF,13.0,2022-07-20,2026-07-15,4
East Timor,Timor-Leste,AFC,18.0,2022-07-20,2026-07-15,4
Bhutan,Bhutan,AFC,19.0,2022-07-20,2026-07-15,4
United States Virgin Islands,US Virgin Islands,CONCACAF,14.0,2022-07-20,2026-07-15,4
